YY/MM/DD	Market Risk Premium	Size Factor (3 Factor)	Book to Market Factor	Risk-free Interest Rate
2016-11-15	-0.10300000000000001	0.1317	0.2219	1.045
2016-11-16	0.3496	0.0058	-0.1384	1.045
2016-11-17	0.3626	-0.1643	-0.0736	1.045
2016-11-18	0.1494	0.539	-0.0203	1.045
2016-11-21	0.3557	-0.1152	0.9582	1.045
2016-11-22	1.0090000000000001	-0.2891	-0.9935	1.045
2016-11-23	0.4789	-0.3149	-0.4295	1.045
2016-11-24	-0.2895	0.1468	0.3261	1.045
2016-11-25	0.084	0.2463	0.0307	1.045
2016-11-28	0.6877	-0.2681	-0.0893	1.045
2016-11-29	-0.3224	0.6692	0.4431	1.045
2016-11-30	0.5268	-0.0064	-0.1004	1.045
2016-12-01	0.2451	0.22699999999999998	0.1428	1.045
2016-12-02	-0.8034	0.4881	0.4128	1.045
2016-12-05	-0.3209	0.271	-0.5291	1.045
2016-12-06	0.9835	-0.5587	-0.42100000000000004	1.045
2016-12-07	0.1368	0.0427	0.2817	1.045
2016-12-08	1.2058	-0.9317	-0.3187	1.045
2016-12-09	0.1753	-0.0007	0.0069	1.045
2016-12-12	-0.4594	0.3058	0.0408	1.045
2016-12-13	0.3448	-0.1833	0.1616	1.045
2016-12-14	-0.1489	0.3155	-0.2462	1.045
2016-12-15	-0.0872	0.1233	0.5202	1.045
2016-12-16	-0.3586	0.6103	-0.0578	1.045
2016-12-19	-0.9412	0.147	-0.027999999999999997	1.045
2016-12-20	0.0301	0.0902	0.3478	1.045
2016-12-21	-0.4194	0.3937	0.4349	1.045
2016-12-22	-0.9303	0.2757	-0.3135	1.045
2016-12-23	-0.4445	0.3015	-0.124	1.045
2016-12-26	0.3488	-0.1412	-0.3751	1.045
2016-12-27	-0.018000000000000002	0.0163	-0.2419	1.045
2016-12-28	1.0107	-0.5229	-0.0066	1.045
2016-12-29	-0.5283	0.5857	0.3557	1.045
2016-12-30	1.0978	-0.3802	-0.191	1.045
